N;P;K;temperature;humidity;ph;rainfall;label
90;42;43;2.087.974.371;8.200.274.423;6.502.985.292.000.000;2.029.355.362;rice
85;58;41;2.177.046.169;8.031.964.408;7.038.096.361;2.266.555.374;rice
60;55;44;2.300.445.915;823.207.629;7.840.207.144;2.639.642.476;rice
74;35;40;2.649.109.635;8.015.836.264;6.980.400.905;2.428.640.342;rice
78;42;42;2.013.017.482;8.160.487.287;7.628.472.891;2.627.173.405;rice
69;37;42;2.305.804.872;8.337.011.772;7.073.453.503;2.510.549.998;rice
69;55;38;2.270.883.798;8.263.941.394;570.080.568;2.713.248.604;rice
94;53;40;2.027.774.362;8.289.408.619;5.718.627.177.999.990;2.419.741.949;rice
89;54;38;2.451.588.066;8.353.521.629.999.990;6.685.346.424;2.304.462.359;rice
68;58;38;2.322.397.386;8.303.322.691;6.336.253.525;2.212.091.958;rice
91;53;40;2.652.723.513;8.141.753.846;5.386.167.788;2.646.148.697;rice
90;46;42;2.397.898.217;8.145.061.596;750.283.396;2.500.832.336;rice
78;58;44;2.680.079.604;8.088.684.822;5.108.681.786;2.844.364.567;rice
93;56;36;2.401.497.622;8.205.687.182;698.435.366;1.852.773.389;rice
94;50;37;2.566.585.205;8.066.385.045;694.801.983;2.095.869.708;rice
60;48;39;2.428.209.415;8.030.025.587;70.422.990.689.999.900;2.310.863.347;rice
85;38;41;2.158.711.777;827.883.708;62.490.506.560.000.000;27.665.524.589.999.900;rice
91;35;39;2.379.391.957;8.041.817.957;6.970.859.754;2.062.611.855;rice
77;38;36;218.652.524;801.923.008;5.953.933.276;22.455.501.690.000.000;rice
88;35;40;2.357.943.626;8.358.760.316;585.393.208;2.912.986.618.000.000;rice
89;45;36;2.132.504.158;8.047.476.396;6.442.475.375;1.854.974.732;rice
76;40;43;2.515.745.531;8.311.713.476;5.070.175.667;2.313.843.163;rice
67;59;41;2.194.766.735;8.097.384.195;6.012.632.591;2.133.560.921;rice
83;41;43;210.525.355;8.267.839.517;6.254.028.451;2.331.075.816;rice
98;47;37;2.348.381.344;8.133.265.073;7.375.482.851;2.240.581.164;rice
66;53;41;250.756.354;8.052.389.148;7.778.915.154;2.570.038.865;rice
97;59;43;2.635.927.159;8.404.403.589;62.865.001.760.000.000;27.135.861.370.000.000;rice
97;50;41;2.452.922.681;8.054.498.576;7.070.959.995;2.602.634.026;rice
60;49;44;2.077.576.147;8.449.774.397;6.244.841.491;2.400.810.647;rice
84;51;35;2.230.157.427;8.064.416.466;6.043.304.899;1.979.791.215;rice
73;57;41;2.144.653.958;8.494.375.962;5.824.709.117;2.722.017.204;rice
92;35;40;2.217.931.888;8.033.127.223;63.573.893.660.000.000;2.000.882.787;rice
85;37;39;2.452.783.742;8.273.685.569;6.364.134.967.999.990;22.467.572.310.000.000;rice
98;53;38;2.026.707.606;8.163.895.217;501.450.727;2.704.417.274;rice
88;54;44;257.354.293;8.388.266.234;6.149.410.611;2.331.321.372;rice
95;55;42;2.679.533.926;821.480.873;5.950.660.556;1.933.473.987;rice
99;57;35;2.675.754.171;8.117.734.011;5.960.370.061;27.229.990.560.000.000;rice
95;39;36;2.386.330.467;8.315.250.801;5.561.398.642;2.852.493.645;rice
60;43;44;2.101.944.696;8.295.221.726;7.416.245.107.000.000;29.840.184.710.000.000;rice
63;44;41;2.417.298.839;837.287.574;5.583.370.042;2.570.343.554;rice
62;42;36;2.278.133.816;8.206.719.137;6.430.010.215;2.487.183.228;rice
64;45;43;2.562.980.105;8.352.842.314;5.534.878.156;2.099.001.977;rice
83;60;36;2.559.704.938;8.014.509.262;6.903.985.986;200.834.898;rice
82;40;40;2.383.067.496;8.481.360.127;6.271.478.837.999.990;2.985.601.175;rice
85;52;45;2.631.355.498;8.236.698.992;7.224.285.503;2.655.355.937;rice
91;35;38;248.972.823;8.052.586.088;613.428.721;1.836.793.207;rice
76;49;42;24.958.779;8.447.963.372;5.206.373.153;19.695.600.080.000.000;rice
74;39;38;2.324.113.501;8.459.201.843;7.782.051.312.999.990;2.330.453.455;rice
79;43;39;2.166.628.296;8.070.960.551;7.062.779.015;2.108.142.087;rice
88;55;45;2.463.544.858;8.041.363.018;7.730.367.824;2.537.202.781;rice
60;36;43;2.343.121.862;8.306.310.136;5.286.203.711.000.000;2.199.048.349;rice
76;60;39;200.454.142;803.477.562;6.766.240.045;2.085.810.155;rice
93;56;42;2.385.724.032;8.222.572.988;7.382.762.603;1.950.948.311;rice
65;60;43;2.197.199.397;8.189.918.197;5.658.169.482.000.000;2.273.637.009;rice
95;52;36;2.622.916.897;8.383.625.819;5.543.360.237.999.990;2.865.083.725;rice
75;38;39;2.344.676.801;8.479.352.417;6.215.109.715;2.839.338.466;rice
74;54;38;2.565.553.461;8.347.021.081;7.120.272.972;2.173.788.583;rice
91;36;45;2.444.345.477;8.245.432.595;5.950.647.577.000.000;26.797.619.480.000.000;rice
71;46;40;202.801.937;821.235.421;7.236.705.436;1.919.535.738;rice
99;55;35;217.238.313;802.389.895;6.501.697.816;2.779.626.192;rice
72;40;38;2.041.447.029;8.220.802.629;7.592.490.617;2.451.511.304;rice
83;58;45;2.575.528.612;8.351.827.127;5.875.345.751;2.456.626.799;rice
93;58;38;2.061.521.424;8.377.345.559;6.932.400.225;2.795.451.717;rice
70;36;42;2.184.106.875;8.072.886.384;69.462.098.810.000.000;2.023.838.319;rice
76;47;42;2.008.369.642;8.329.114.712;5.739.175.027.000.000;2.636.372.176;rice
99;41;36;2.445.802.087;8.274.835.604;6.738.652.179;1.825.616.319;rice
99;54;37;2.114.347.496;8.033.502.926;55.948.196.260.000.000;1.986.730.942;rice
